pid,arrival_time,burst_time,priority,process_size,memory_usage,process_type,cpu_affinity
122,0,42,36,327,448,0,0
123,0,5,10,190,491,0,0
124,0,10,10,159,248,3,0
125,0,32,10,402,318,0,0
126,0,39,36,918,274,1,0
127,0,44,20,981,93,2,0
128,0,12,10,958,332,0,0
129,0,17,10,863,446,0,0
130,0,17,20,818,465,3,0
131,0,48,0,327,307,3,0
132,0,21,20,693,453,2,0
133,0,25,10,310,271,3,0
134,0,12,11,463,339,0,0
135,0,32,36,833,217,0,0
136,0,22,36,310,441,2,0
137,0,23,10,530,133,0,0
138,0,42,11,569,426,0,0
139,0,5,20,432,141,0,0
140,0,22,36,260,70,2,0
141,0,41,10,942,372,3,0
142,0,21,20,973,205,1,0
143,0,31,10,890,295,0,0
144,0,27,10,190,397,2,0
145,0,44,20,434,359,0,0
146,0,14,10,148,148,2,0
147,0,42,20,230,402,1,0
148,0,33,20,804,300,3,0
149,0,40,20,667,387,3,0
150,0,18,36,302,322,2,0
151,0,15,0,515,307,1,0
152,0,13,10,645,224,0,0
153,0,46,36,559,410,1,0
154,0,48,20,213,448,0,0
155,0,28,10,698,213,0,0
156,0,37,0,421,253,1,0
157,0,29,10,920,186,3,0
158,0,23,20,532,173,3,0
159,0,49,20,782,263,2,0
160,0,30,20,424,290,2,0
161,0,42,10,197,457,2,0
162,0,11,10,604,104,3,0
163,0,16,0,558,409,0,0
164,0,49,10,385,291,3,0
165,0,8,10,381,296,2,0
166,0,19,0,211,259,0,0
167,0,13,20,447,85,0,0
168,0,32,20,351,338,1,0
169,0,6,20,763,435,0,0
170,0,20,10,628,109,0,0
171,0,49,36,955,334,2,0
172,0,12,10,323,64,2,0
173,0,42,0,594,302,2,0
174,0,8,10,790,344,3,0
175,0,22,11,610,385,2,0
176,0,42,10,529,407,1,0
177,0,36,11,456,229,2,0
178,0,47,10,948,147,0,0
179,0,24,36,296,112,2,0
180,0,38,10,195,249,0,0
181,0,42,0,412,121,2,0
182,0,25,11,838,416,3,0
183,0,41,20,735,262,3,0
184,0,28,11,254,228,2,0
185,0,42,20,101,317,2,0
186,0,46,10,230,454,2,0
187,0,48,36,534,221,1,0
188,0,31,2,618,226,2,0
189,0,47,36,403,111,2,0
190,0,30,36,167,86,3,0
191,0,7,10,600,426,3,0
192,0,48,20,221,216,1,0
193,0,13,0,625,158,2,0
194,0,24,10,230,206,0,0
195,0,11,20,465,478,0,0
196,0,40,10,746,478,3,0
197,0,19,36,357,122,2,0
198,0,13,0,185,152,3,0
199,0,25,20,836,301,2,0
200,0,27,20,693,294,2,0
201,0,11,10,191,246,2,0
202,0,11,36,947,473,0,0
203,0,25,36,160,342,2,0
204,0,43,20,699,235,2,0
205,0,29,0,579,275,0,0
206,0,48,20,822,484,1,0
207,0,24,0,855,386,3,0
208,0,47,0,885,319,3,0
209,0,22,20,415,249,2,0
210,0,29,20,859,317,2,0
211,0,9,0,785,509,3,0
212,0,35,0,401,295,1,0
213,0,16,10,731,268,2,0
214,0,21,20,594,411,2,0
215,0,20,0,478,286,0,0
216,0,49,20,938,128,1,0
217,0,15,20,563,145,2,0
218,0,9,10,142,363,2,0
219,0,43,0,872,334,0,0
220,0,8,11,730,149,3,0
221,0,5,10,545,342,0,0
222,0,26,20,424,491,2,0
223,0,17,20,946,90,1,0
224,0,12,10,395,226,1,0
225,0,44,10,828,208,3,0
226,0,41,20,632,152,3,0
227,0,29,10,750,177,2,0
228,0,34,10,322,473,1,0
229,0,42,20,226,355,1,0
230,0,48,10,425,492,2,0
231,0,20,0,314,140,0,0
232,0,8,0,425,481,0,0
233,0,30,36,830,355,3,0
234,0,35,0,905,388,0,0
235,0,13,0,879,135,2,0
236,0,18,20,831,468,1,0
237,0,34,0,951,237,2,0
238,0,9,10,110,277,1,0
239,0,31,20,898,412,2,0
240,0,31,0,917,359,3,0
241,0,18,36,344,242,3,0
242,0,38,36,399,208,3,0
243,0,41,20,746,143,3,0
244,0,32,10,917,136,0,0
245,0,26,10,194,480,0,0
246,0,34,10,198,116,1,0
247,0,41,20,654,460,2,0
248,0,8,10,153,161,0,0
249,0,15,10,569,424,0,0
250,0,37,36,337,306,2,0
251,0,13,0,579,414,2,0
252,0,37,0,944,125,0,0
253,0,12,0,180,503,1,0
254,0,7,0,459,370,2,0
255,0,24,0,313,435,0,0
256,0,43,0,215,262,0,0
257,0,41,0,753,94,1,0
258,0,44,10,258,433,1,0
259,0,36,20,123,133,3,0
260,0,8,0,944,92,3,0
261,0,31,20,420,425,2,0
262,0,5,10,677,138,0,0
263,0,31,20,650,227,0,0
264,0,16,10,444,159,0,0
265,0,49,0,652,212,1,0
266,0,40,10,473,299,3,0
267,0,33,0,734,146,2,0
268,0,24,10,690,94,0,0
269,0,39,10,716,135,2,0
270,0,8,10,339,393,0,0
271,0,19,36,558,149,0,0
272,0,12,20,493,369,2,0
273,0,47,36,238,491,1,0
274,0,12,10,728,160,2,0
275,0,48,10,518,344,2,0
276,0,29,10,535,230,1,0
277,0,20,36,961,394,1,0
278,0,34,0,999,279,0,0
279,0,42,20,568,79,0,0
280,0,32,20,994,123,1,0
281,0,41,10,779,429,2,0
282,0,20,10,961,88,1,0
283,0,27,0,448,158,0,0
284,0,22,20,711,382,0,0
285,0,26,20,895,125,2,0
286,0,29,0,277,432,3,0
287,0,18,20,501,221,2,0
288,0,35,20,908,378,3,0
289,0,16,36,312,284,3,0
290,0,38,0,729,401,0,0
291,0,43,36,121,343,3,0
292,0,14,10,585,483,1,0
293,0,31,0,120,154,1,0
294,0,17,10,353,399,2,0
295,0,49,20,901,103,0,0
296,0,45,20,230,89,1,0
297,0,30,20,922,319,2,0
298,0,15,10,774,240,0,0
299,0,32,36,353,426,2,0
300,0,34,0,481,332,1,0
301,0,17,36,892,217,1,0
302,0,37,10,241,255,0,0
303,0,25,36,665,341,1,0
304,0,20,10,606,77,2,0
305,0,49,0,141,445,2,0
306,0,8,11,669,83,2,0
307,0,27,36,573,226,0,0
308,0,8,10,233,256,2,0
309,0,11,36,306,74,0,0
310,0,5,36,959,415,3,0
311,0,40,0,905,277,3,0
312,0,20,0,358,297,2,0
313,0,22,10,708,209,2,0
314,0,40,0,503,366,2,0
315,0,28,0,986,385,3,0
316,0,26,20,887,326,1,0
317,0,12,20,832,250,0,0
318,0,7,0,192,303,2,0
319,0,34,10,469,477,1,0
320,0,18,10,898,289,1,0
321,0,15,36,707,325,3,0
322,0,28,2,357,313,0,0
323,0,19,10,183,400,3,0
324,0,15,0,902,448,1,0
325,0,19,10,595,106,3,0
326,0,5,20,330,134,2,0
327,0,20,10,679,306,2,0
328,0,33,0,587,456,2,0
329,0,5,36,113,273,2,0
330,0,35,10,629,491,1,0
331,0,46,20,232,179,0,0
332,0,16,36,173,257,1,0
333,0,23,20,964,418,0,0
334,0,20,36,802,504,0,0
335,0,43,0,148,482,3,0
336,0,39,10,185,291,2,0
337,0,44,11,545,126,2,0
338,0,6,0,373,101,1,0
339,0,32,10,201,306,3,0
340,0,43,10,607,166,2,0
341,0,28,10,691,442,0,0
342,0,48,20,744,102,0,0
343,0,5,10,755,489,2,0
344,0,44,10,760,473,1,0
345,0,36,10,764,359,0,0
346,0,39,20,615,450,1,0
347,0,33,10,224,487,2,0
348,0,24,36,874,382,0,0
349,0,37,36,685,171,3,0
350,0,40,0,101,123,1,0
351,0,8,36,528,507,0,0
352,0,44,20,678,258,3,0
353,0,21,20,490,219,2,0
354,0,5,20,302,115,2,0
355,0,49,10,891,361,0,0
356,0,28,0,877,422,3,0
357,0,43,20,406,167,0,0
358,0,35,10,665,177,1,0
359,0,20,20,459,162,2,0
360,0,30,20,429,314,2,0
361,0,7,10,677,418,0,0
362,0,43,11,374,104,2,0
363,0,10,10,197,106,0,0
364,0,34,20,179,492,1,0
365,0,26,10,819,225,2,0
366,0,47,10,916,440,2,0
367,0,15,20,919,415,1,0
368,0,17,20,125,146,1,0
369,0,20,0,902,139,0,0
370,0,33,20,142,464,2,0
371,0,14,36,954,336,0,0
372,0,22,0,686,480,0,0
373,0,24,0,436,100,2,0
374,0,29,0,733,110,3,0
375,0,16,21,788,382,1,0
376,0,38,10,345,277,2,0
377,0,23,0,293,110,0,0
378,0,18,20,677,105,0,0
379,0,39,20,627,510,3,0
380,0,10,20,814,405,3,0
381,0,34,20,748,333,1,0
382,0,43,20,790,461,0,0
383,0,21,10,468,453,2,0
384,0,10,10,855,208,1,0
385,0,31,10,379,468,2,0
386,0,34,36,453,331,0,0
387,0,30,36,511,80,0,0
388,0,32,0,472,68,3,0
389,0,18,20,294,381,0,0
390,0,42,0,729,254,2,0
391,0,22,10,611,297,0,0
392,0,26,0,604,385,2,0
393,0,8,10,588,381,2,0
394,0,12,11,582,85,1,0
395,0,36,20,383,383,2,0
396,0,22,10,689,481,1,0
397,0,35,20,702,474,2,0
398,0,10,0,829,116,1,0
399,0,34,36,460,342,2,0
400,0,13,20,844,412,1,0
401,0,29,0,224,442,2,0
402,0,49,36,286,157,1,0
403,0,43,10,871,390,0,0
404,0,41,0,445,410,0,0
405,0,11,10,811,144,1,0
406,0,7,20,459,432,2,0
407,0,10,11,387,193,2,0
408,0,24,20,919,66,0,0
409,0,49,11,655,422,1,0
410,0,9,0,700,452,3,0
411,0,43,10,310,172,2,0
412,0,31,0,672,275,0,0
413,0,7,0,498,137,3,0
414,0,25,20,404,308,3,0
415,0,49,10,206,87,2,0
416,0,11,0,609,216,3,0
417,0,6,10,875,232,0,0
418,0,33,10,762,452,2,0
419,0,12,0,267,211,3,0
420,0,48,10,322,463,1,0
421,0,20,10,649,265,1,0
422,0,8,20,751,172,0,0
423,0,46,0,453,103,1,0
424,0,7,36,637,191,3,0
425,0,10,0,681,310,0,0
426,0,44,10,417,225,2,0
427,0,29,10,795,312,2,0
428,0,17,0,884,136,0,0
429,0,24,10,289,272,2,0
430,0,21,0,686,414,2,0
431,0,23,10,319,418,0,0
432,0,35,0,923,300,1,0
433,0,32,20,301,102,2,0
434,0,28,0,540,508,2,0
435,0,39,0,545,238,2,0
436,0,42,0,139,193,3,0
437,0,29,10,377,489,0,0
438,0,27,0,779,173,0,0
439,0,18,10,579,411,0,0
440,0,49,10,951,264,2,0
441,0,43,0,959,76,1,0
442,0,24,11,262,445,2,0
443,0,10,0,644,378,0,0
444,0,14,36,242,325,2,0
445,0,12,11,786,86,3,0
446,0,34,10,411,167,2,0
447,0,39,20,872,475,0,0
448,0,27,20,973,114,2,0
449,0,30,20,916,410,3,0
450,0,47,10,992,230,2,0
451,0,40,10,988,68,2,0
452,0,42,11,594,457,2,0
453,0,43,0,144,295,2,0
454,0,48,10,904,342,3,0
455,0,36,20,289,399,1,0
456,0,13,10,822,416,0,0
457,0,34,10,715,364,0,0
458,0,8,11,638,396,0,0
459,0,32,20,586,238,2,0
460,0,23,0,984,69,1,0
461,0,8,20,156,427,3,0
462,0,49,10,969,131,2,0
463,0,21,0,549,91,3,0
464,0,20,20,487,322,2,0
465,0,19,0,426,197,2,0
466,0,49,36,750,128,2,0
467,0,34,0,544,308,0,0
468,0,44,0,840,309,0,0
469,0,23,20,874,74,3,0
470,0,7,0,344,496,2,0
471,0,30,0,699,342,1,0
472,0,45,11,495,87,2,0
473,0,6,11,415,387,0,0
474,0,11,10,264,79,2,0
475,0,39,0,435,312,0,0
476,0,19,11,781,325,0,0
477,0,14,20,495,452,2,0
478,0,37,36,309,225,1,0
479,0,18,10,365,133,1,0
480,0,46,10,907,395,1,0
481,0,42,10,896,505,1,0
482,0,11,10,453,294,0,0
483,0,40,0,407,137,3,0
484,0,20,0,638,334,0,0
485,0,44,20,551,469,0,0
486,0,36,10,546,165,2,0
487,0,13,10,289,399,3,0
488,0,29,20,451,287,3,0
489,0,43,10,337,114,0,0
490,0,16,10,577,355,2,0
491,0,46,10,558,158,0,0
492,0,20,10,459,192,3,0
493,0,48,10,814,135,2,0
494,0,21,36,456,403,3,0
495,0,24,0,279,344,1,0
496,0,29,0,802,224,0,0
497,0,13,10,966,479,0,0
498,0,43,0,751,510,1,0
499,0,15,20,856,450,0,0
500,0,7,36,188,317,0,0
501,0,14,0,431,405,0,0
502,0,17,11,459,351,0,0
503,0,15,10,164,489,3,0
504,0,30,10,520,356,2,0
505,0,13,20,213,277,1,0
506,0,10,10,811,345,0,0
507,0,8,0,785,221,2,0
508,0,39,10,605,96,2,0
509,0,27,10,213,120,2,0
510,0,29,10,958,337,2,0
511,0,39,0,616,413,0,0
512,0,7,36,339,229,3,0
513,0,48,0,597,289,3,0
514,0,20,10,344,405,3,0
515,0,41,20,507,196,0,0
516,0,7,10,856,376,0,0
517,0,11,0,630,396,1,0
518,0,27,20,699,83,0,0
519,0,18,36,293,297,0,0
520,0,22,11,748,424,1,0
521,0,36,20,836,353,0,0
522,0,13,10,339,322,2,0
523,0,48,10,565,153,2,0
524,0,45,0,632,329,0,0
525,0,41,36,476,89,2,0
526,0,45,20,748,471,0,0
527,0,48,36,186,242,3,0
528,0,42,36,699,420,2,0
529,0,34,36,448,174,0,0
530,0,42,10,957,214,2,0
531,0,18,0,232,173,0,0
532,0,46,11,776,341,0,0
533,0,5,20,554,467,1,0
534,0,47,20,200,317,3,0
535,0,23,36,463,126,1,0
536,0,39,36,150,295,2,0
537,0,13,0,443,190,2,0
538,0,5,0,476,238,0,0
539,0,48,36,807,203,2,0
540,0,17,20,202,333,0,0
541,0,28,10,674,125,3,0
542,0,17,11,747,94,0,0
543,0,26,11,476,131,0,0
544,0,18,10,716,496,0,0
545,0,16,36,531,391,1,0
546,0,22,0,795,201,2,0
547,0,31,20,546,321,3,0
548,0,8,10,934,268,0,0
549,0,19,10,364,377,2,0
550,0,30,36,331,134,2,0
551,0,48,20,607,335,1,0
552,0,10,10,602,312,0,0
553,0,44,36,582,370,0,0
554,0,38,0,416,170,2,0
555,0,34,10,443,287,0,0
556,0,16,10,359,112,1,0
557,0,39,20,559,502,1,0
558,0,22,10,906,345,0,0
559,0,21,0,580,136,1,0
560,0,48,11,378,433,1,0
561,0,32,20,707,393,1,0
562,0,21,11,579,489,1,0
563,0,24,10,791,155,0,0
564,0,41,11,488,190,3,0
565,0,30,0,578,291,2,0
566,0,22,10,954,249,1,0
567,0,28,36,140,502,3,0
568,0,49,36,695,173,0,0
569,0,30,36,332,232,2,0
570,0,32,0,597,401,2,0
571,0,47,0,793,251,2,0
572,0,31,10,525,86,2,0
573,0,40,10,874,452,2,0
574,0,36,10,487,290,2,0
575,0,19,0,581,249,2,0
576,0,27,20,522,290,0,0
577,0,20,10,698,218,0,0
578,0,45,20,514,278,3,0
579,0,27,0,631,331,2,0
580,0,22,11,885,409,0,0
581,0,22,11,307,141,2,0
582,0,28,10,292,510,0,0
583,0,6,10,583,399,3,0
584,0,9,0,204,241,2,0
585,0,48,36,441,149,2,0
586,0,13,10,337,252,0,0
587,0,15,10,936,438,2,0
588,0,39,0,484,173,3,0
589,0,32,0,216,247,0,0
590,0,43,0,356,230,0,0
591,0,47,10,311,405,0,0
592,0,19,0,510,348,2,0
593,0,12,0,230,493,2,0
594,0,20,20,788,332,2,0
595,0,28,10,557,222,2,0
596,0,43,20,538,195,2,0
597,0,19,36,930,153,0,0
598,0,9,10,728,258,2,0
599,0,13,10,469,479,1,0
600,0,30,20,653,220,2,0
601,0,31,10,422,443,2,0
602,0,40,20,423,303,3,0
603,0,20,0,525,179,3,0
604,0,39,10,132,404,0,0
605,0,48,10,487,76,1,0
606,0,49,20,857,190,1,0
607,0,18,45,817,93,0,0
608,0,44,0,926,165,2,0
609,0,34,36,560,114,1,0
610,0,22,10,198,360,2,0
611,0,29,10,336,185,2,0
612,0,41,11,166,427,3,0
613,0,30,0,668,302,0,0
614,0,17,10,556,146,1,0
615,0,49,11,302,369,0,0
616,0,7,10,260,112,2,0
617,0,28,10,424,478,1,0
618,0,12,10,795,70,1,0
619,0,39,10,499,396,3,0
620,0,7,0,145,132,3,0
621,0,32,36,999,103,0,0
622,0,5,36,500,73,3,0
623,0,17,20,236,201,2,0
624,0,12,20,705,258,2,0
625,0,42,0,609,149,2,0
626,0,16,0,115,183,0,0
627,0,18,0,423,484,2,0
628,0,25,36,666,187,1,0
629,0,7,10,915,422,3,0
630,0,33,20,330,272,2,0
631,0,31,36,350,231,0,0
632,0,41,0,307,502,1,0
633,0,48,20,904,313,0,0
634,0,42,0,884,489,3,0
635,0,33,10,658,369,0,0
636,0,35,10,263,343,0,0
637,0,24,0,615,134,1,0
638,0,37,10,876,269,1,0
639,0,14,20,142,337,0,0
640,0,29,20,794,205,0,0
641,0,33,0,120,153,1,0
642,0,23,36,676,388,0,0
643,0,14,10,939,273,1,0
644,0,32,0,767,97,0,0
645,0,43,36,904,73,3,0
646,0,7,20,346,88,2,0
647,0,42,20,597,390,2,0
648,0,39,20,980,220,0,0
649,0,22,20,564,103,2,0
650,0,28,10,244,397,3,0
651,0,29,36,598,437,1,0
652,0,17,11,484,164,2,0
653,0,45,36,197,232,0,0
654,0,12,10,671,495,0,0
655,0,24,20,802,389,2,0
656,0,27,10,922,444,0,0
657,0,46,10,371,510,3,0
658,0,11,36,438,316,2,0
659,0,23,10,874,357,0,0
660,0,30,36,902,467,0,0
661,0,32,10,103,452,3,0
662,0,18,36,315,353,1,0
663,0,28,36,916,341,0,0
664,0,13,36,268,69,2,0
665,0,35,10,838,497,3,0
666,0,46,20,940,154,2,0
667,0,43,0,588,139,3,0
668,0,19,20,629,287,2,0
669,0,26,10,458,506,2,0
670,0,11,20,683,350,0,0
671,0,23,20,962,350,1,0
672,0,33,36,402,263,0,0
673,0,14,0,711,133,2,0
674,0,37,36,982,124,3,0
675,0,19,20,343,455,3,0
676,0,23,36,235,393,0,0
677,0,15,36,744,231,1,0
678,0,40,10,449,384,2,0
679,0,14,20,278,123,0,0
680,0,36,10,834,221,0,0
681,0,20,0,681,338,2,0
682,0,34,10,124,234,3,0
683,0,28,45,275,128,0,0
684,0,33,10,926,455,0,0
685,0,46,0,278,378,2,0
686,0,41,20,101,173,0,0
687,0,25,20,744,368,0,0
688,0,40,10,539,145,2,0
689,0,20,0,615,188,1,0
690,0,14,20,582,115,0,0
691,0,26,10,753,127,1,0
692,0,37,20,611,84,2,0
693,0,26,10,420,79,0,0
694,0,25,20,151,90,1,0
695,0,43,0,520,280,3,0
696,0,12,0,432,112,1,0
697,0,49,20,722,240,1,0
698,0,36,0,980,491,0,0
699,0,20,10,415,346,1,0
700,0,36,10,409,307,1,0
701,0,41,20,521,178,1,0
702,0,16,20,133,209,0,0
703,0,31,0,440,285,1,0
704,0,11,10,309,397,0,0
705,0,21,10,715,369,0,0
706,0,11,10,501,210,0,0
707,0,29,36,126,82,2,0
708,0,21,11,427,310,3,0
709,0,34,10,835,257,2,0
710,0,42,20,616,380,0,0
711,0,26,36,675,93,3,0
712,0,48,10,936,172,0,0
713,0,11,10,122,250,1,0
714,0,17,0,159,86,0,0
715,0,45,0,287,267,0,0
716,0,21,10,527,449,1,0
717,0,37,0,962,112,2,0
718,0,18,36,460,240,0,0
719,0,46,10,950,208,0,0
720,0,41,0,455,196,1,0
721,0,41,10,926,110,0,0
722,0,6,10,363,223,2,0
723,0,21,0,268,340,1,0
724,0,23,36,980,396,2,0
725,0,32,0,203,456,0,0
726,0,37,10,833,434,2,0
727,0,30,20,371,473,2,0
728,0,9,20,267,340,3,0
729,0,44,20,549,507,0,0
730,0,7,36,603,244,2,0
731,0,43,10,469,349,3,0
732,0,9,10,115,130,0,0
733,0,29,0,823,139,1,0
734,0,10,10,679,355,0,0
735,0,12,20,334,273,3,0
736,0,23,20,409,372,3,0
737,0,45,0,226,174,3,0
738,0,33,10,654,475,0,0
739,0,28,20,867,72,1,0
740,0,25,0,192,426,3,0
741,0,46,10,920,272,2,0
742,0,24,36,745,89,0,0
743,0,31,36,394,490,1,0
744,0,18,20,789,128,2,0
745,0,33,11,477,294,2,0
746,0,30,11,671,333,0,0
747,0,6,10,675,407,2,0
748,0,41,11,615,202,1,0
749,0,46,10,183,112,3,0
750,0,13,2,733,362,2,0
751,0,6,0,583,442,0,0
752,0,11,36,216,196,3,0
753,0,47,10,231,490,0,0
754,0,49,10,740,405,2,0
755,0,15,10,595,483,3,0
756,0,31,20,546,174,2,0
757,0,47,11,659,280,2,0
758,0,21,10,512,208,0,0
759,0,8,20,877,112,0,0
760,0,23,20,130,177,0,0
761,0,27,10,493,444,2,0
762,0,26,0,197,169,3,0
763,0,49,20,250,112,2,0
764,0,22,10,603,83,0,0
765,0,29,20,226,342,0,0
766,0,47,11,563,208,0,0
767,0,25,10,160,386,0,0
768,0,27,0,549,110,0,0
769,0,20,36,222,254,2,0
770,0,13,10,240,269,0,0
771,0,21,10,113,184,0,0
772,0,16,10,378,469,0,0
773,0,21,0,900,177,1,0
774,0,21,20,150,93,2,0
775,0,15,19,493,402,2,0
776,0,49,0,476,499,0,0
777,0,39,0,696,415,1,0
778,0,30,0,271,371,0,0
779,0,49,10,110,388,0,0
780,0,46,36,711,295,2,0
781,0,39,20,825,292,3,0
782,0,26,0,507,148,1,0
783,0,19,20,899,360,2,0
784,0,32,20,838,255,2,0
785,0,13,10,133,292,0,0
786,0,20,20,126,323,1,0
787,0,8,0,161,133,3,0
788,0,23,11,859,267,1,0
789,0,25,36,122,468,0,0
790,0,45,20,610,198,2,0
791,0,28,10,799,408,3,0
792,0,48,20,849,141,3,0
793,0,7,0,357,465,1,0
794,0,14,11,225,69,0,0
795,0,19,10,197,358,2,0
796,0,16,0,751,200,0,0
797,0,43,11,901,120,0,0
798,0,24,36,811,466,0,0
799,0,18,20,710,349,2,0
800,0,20,10,415,258,1,0
801,0,14,0,633,461,3,0
802,0,16,10,244,206,3,0
803,0,43,11,707,262,2,0
804,0,34,10,391,453,2,0
805,0,46,0,880,361,0,0
806,0,39,10,427,412,2,0
807,0,17,10,934,66,0,0
808,0,36,20,796,244,1,0
809,0,10,11,969,112,1,0
810,0,8,10,487,289,0,0
811,0,22,10,318,298,2,0
812,0,26,10,394,119,0,0
813,0,22,10,437,96,2,0
814,0,42,36,460,351,0,0
815,0,26,10,204,367,2,0
816,0,32,2,927,389,1,0
817,0,8,10,853,125,2,0
818,0,11,10,305,435,1,0
819,0,29,10,514,317,0,0
820,0,9,20,125,236,0,0
821,0,36,36,866,131,0,0
822,0,18,36,980,478,0,0
823,0,20,36,390,222,2,0
824,0,5,36,649,477,0,0
825,0,36,36,926,241,3,0
826,0,15,20,199,457,3,0
827,0,19,10,194,196,2,0
828,0,42,36,336,272,3,0
829,0,22,36,955,464,2,0
830,0,5,10,710,192,0,0
831,0,23,36,133,176,1,0
832,0,9,10,992,364,3,0
833,0,37,11,856,348,2,0
834,0,36,36,683,80,1,0
835,0,17,36,188,242,0,0
836,0,33,20,869,376,2,0
837,0,6,0,671,300,2,0
838,0,21,10,997,132,0,0
839,0,47,0,568,491,2,0
840,0,37,20,146,212,0,0
841,0,5,0,165,170,0,0
842,0,26,10,142,279,0,0
843,0,16,10,664,216,1,0
844,0,39,20,166,482,0,0
845,0,29,11,584,299,0,0
846,0,14,20,690,186,0,0
847,0,13,10,911,80,0,0
848,0,37,36,429,484,0,0
849,0,9,20,469,261,2,0
850,0,29,11,502,498,0,0
851,0,20,20,788,193,0,0
852,0,27,20,468,377,2,0
853,0,10,10,185,149,0,0
854,0,48,10,228,442,2,0
855,0,44,10,756,504,2,0
856,0,19,0,356,120,0,0
857,0,45,10,294,179,2,0
858,0,44,10,744,132,2,0
859,0,12,10,184,211,0,0
860,0,40,11,210,223,3,0
861,0,45,11,420,336,0,0
862,0,18,0,600,274,2,0
863,0,27,0,382,226,2,0
864,0,38,36,863,80,0,0
865,0,40,36,120,392,3,0
866,0,39,0,138,178,2,0
867,0,42,11,550,88,2,0
868,0,20,0,563,277,3,0
869,0,29,0,228,172,0,0
870,0,22,20,254,475,2,0
